,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent
203,1530.94,1530.94,1511.41,1511.95,594170816,2013-02-20,65.6,0.074,Positive
204,1511.95,1511.95,1497.29,1502.42,599309824,2013-02-21,323.5,0.13529548692048693,Positive
205,1502.42,1515.64,1502.42,1515.6,515547200,2013-02-22,118.71428571428571,-0.004285714285714297,Negative
206,1515.6,1525.84,1487.85,1487.85,637253824,2013-02-25,594.3333333333334,0.11729352346999404,Positive
207,1487.85,1498.99,1485.01,1496.94,579446720,2013-02-26,187.25,0.09751893939393937,Positive
208,1515.99,1525.34,1514.46,1514.68,748922880,2013-02-28,191.15384615384616,0.007232441471571897,Positive
209,1514.68,1519.99,1501.48,1518.2,548455808,2013-03-01,137.25,0.19705850168350167,Positive
210,1518.2,1525.27,1512.29,1525.2,513849664,2013-03-04,100.0,0.025,Positive
211,1525.2,1543.47,1525.2,1539.79,522751872,2013-03-05,143.83333333333334,0.07022236251402919,Positive
212,1539.79,1545.25,1538.11,1541.46,502355712,2013-03-06,229.44444444444446,0.14207311207311202,Positive
213,1541.46,1545.78,1541.46,1544.26,498992384,2013-03-07,150.5,0.019144570707070707,Positive
214,1544.26,1552.48,1542.94,1551.18,487435904,2013-03-08,109.75,0.18439980158730157,Positive
215,1551.15,1556.27,1547.36,1556.22,450470304,2013-03-11,128.0,-0.00208333333333334,Negative
216,1556.22,1556.77,1548.24,1552.48,466648288,2013-03-12,17.0,0.26666666666666666,Positive
217,1552.48,1556.39,1548.25,1554.52,420973952,2013-03-13,131.0,0.018854166666666658,Positive
218,1554.52,1563.32,1554.52,1563.23,504222144,2013-03-14,193.35714285714286,0.030464446268017715,Positive
219,1563.21,1563.62,1555.74,1560.7,1447565312,2013-03-15,53.333333333333336,-0.16666666666666666,Negative
220,1560.7,1560.7,1545.13,1552.1,507141280,2013-03-18,76.7,0.01562878787878787,Positive
221,1552.1,1557.25,1538.57,1548.34,544881984,2013-03-19,74.1,-0.11883333333333335,Negative
222,1548.34,1561.56,1548.34,1558.71,515015072,2013-03-20,99.8,0.019400000000000004,Positive
223,1558.71,1558.71,1543.55,1545.8,524169408,2013-03-21,608.5,0.10016233766233765,Positive
224,1545.9,1557.74,1545.9,1556.89,505786400,2013-03-22,55.666666666666664,0.16666666666666666,Positive
225,1556.89,1564.91,1546.22,1551.69,540532352,2013-03-25,86.76923076923077,0.23640918803418803,Positive
226,1551.69,1563.95,1551.69,1563.77,417852192,2013-03-26,71.25,0.0,Neutral
227,1563.75,1564.07,1551.9,1562.85,418415424,2013-03-27,177.46153846153845,-0.02817199467199468,Negative
228,1562.86,1570.28,1561.08,1569.19,673190912,2013-03-28,137.5,0.2145833333333333,Positive
229,1569.18,1570.57,1558.47,1562.17,422775552,2013-04-01,96.5,0.1791666666666667,Positive
230,1562.17,1573.66,1562.17,1570.25,473640320,2013-04-02,85.1,0.15613636363636366,Positive
231,1570.25,1571.47,1549.8,1553.69,587850944,2013-04-03,77.5625,0.097265625,Positive
232,1553.69,1562.6,1552.52,1559.98,481445376,2013-04-04,73.18181818181819,-0.03555194805194804,Negative
233,1559.98,1559.98,1539.5,1553.28,558288704,2013-04-05,50.0,0.2,Positive
234,1553.26,1563.07,1548.63,1563.07,455851968,2013-04-08,168.1860465116279,0.03040384630277296,Positive
235,1563.11,1573.89,1560.92,1568.61,521582048,2013-04-09,47.86206896551724,-0.04244663382594417,Negative
236,1568.61,1589.07,1568.61,1587.73,524612448,2013-04-10,157.4,0.014649329836829825,Positive
237,1587.73,1597.35,1586.17,1593.37,530718944,2013-04-11,154.21428571428572,0.10556689342403629,Positive
238,1593.3,1593.3,1579.97,1588.85,538931392,2013-04-12,127.78125,0.006626533189033189,Positive
239,1588.84,1588.84,1552.28,1552.36,725229120,2013-04-15,198.85185185185185,0.17106601355901072,Positive
240,1552.36,1575.35,1552.36,1574.57,572293824,2013-04-16,123.02222222222223,0.1043157367324034,Positive
241,1574.57,1574.57,1543.69,1552.01,708085120,2013-04-17,174.02439024390245,-0.03166352109949671,Negative
242,1552.03,1554.38,1536.03,1541.61,635698176,2013-04-18,223.70833333333334,0.07199201839826837,Positive
243,1541.61,1555.89,1539.4,1555.25,790566336,2013-04-19,93.16666666666667,0.12914186507936506,Positive
244,1555.25,1565.55,1548.19,1562.5,520923456,2013-04-22,32.0,0.0,Neutral
245,1562.5,1579.58,1562.5,1578.78,555077120,2013-04-23,90.0,0.0,Neutral
246,1578.78,1583.0,1575.8,1578.79,574951040,2013-04-24,120.66666666666667,0.23695436507936507,Positive
247,1578.93,1592.64,1578.93,1585.16,591309504,2013-04-25,100.96296296296296,0.001980719897386555,Positive
248,1585.16,1585.78,1577.56,1582.24,558080320,2013-04-26,122.03846153846153,0.012541971916971909,Positive
249,1582.34,1596.65,1582.34,1593.61,455326880,2013-04-29,157.52941176470588,0.07092691622103385,Positive
250,1593.58,1597.57,1586.5,1597.57,676820608,2013-04-30,323.375,0.04434132205513784,Positive
251,1597.55,1597.55,1581.28,1582.7,514984544,2013-05-01,130.4,0.03799999999999999,Positive
252,1582.77,1598.6,1582.77,1597.59,464684416,2013-05-02,180.35,0.09682815656565655,Positive
253,1597.6,1618.46,1597.6,1614.42,528213536,2013-05-03,131.2,0.10800781625781627,Positive
254,1614.4,1619.77,1614.21,1617.5,477645664,2013-05-06,220.33333333333334,0.15172348484848486,Positive
255,1617.55,1626.03,1616.64,1625.96,489537536,2013-05-07,32.0,-0.10833333333333331,Negative
256,1625.95,1632.78,1622.7,1632.69,516801472,2013-05-08,149.75,0.06079578022286355,Positive
257,1632.69,1635.01,1623.09,1626.67,482900672,2013-05-09,193.74193548387098,0.0959720211026312,Positive
258,1626.69,1633.7,1623.71,1633.7,475475488,2013-05-10,304.28,0.08572910949548579,Positive
259,1632.1,1636.0,1626.74,1633.77,455174880,2013-05-13,270.0,0.08506929059502587,Positive
260,1633.75,1651.1,1633.75,1650.34,529472000,2013-05-14,143.75,0.1421640896895999,Positive
261,1649.13,1661.49,1646.68,1658.78,547590400,2013-05-15,234.68,0.03860912698412698,Positive
262,1658.07,1660.51,1648.6,1650.47,562299328,2013-05-16,132.3125,-0.07165798611111111,Negative
263,1652.45,1667.47,1652.45,1667.47,717787392,2013-05-17,75.42857142857143,0.1939732142857143,Positive
